target_len,val_acc,test_acc,time_s
50,0.9486166007905138,0.9466666666666667,52.442511558532715
100,0.9881422924901185,0.99,71.7487952709198
150,0.9920948616600791,0.9866666666666667,59.4775652885437
200,0.9920948616600791,0.98,67.40882992744446
