augmentation,val_acc,test_acc,time_s
none,0.9920948616600791,0.99,70.55613493919373
timewarp,0.9920948616600791,0.9866666666666667,66.55942845344543
magscale,0.9920948616600791,0.99,76.67541909217834
rotate,0.8695652173913043,0.16666666666666666,49.286686182022095
combined,0.9920948616600791,0.49,73.75571370124817
