num_features,val_acc,test_acc,time_s
1,0.16996047430830039,0.16666666666666666,37.430917501449585
2,0.44664031620553357,0.31666666666666665,120.54138827323914
3,0.8379446640316206,0.54,145.85349321365356
4,0.9011857707509882,0.7733333333333333,142.09477186203003
5,0.9367588932806324,0.9266666666666666,104.02591967582703
6,0.9920948616600791,0.9733333333333334,98.77976036071777
7,0.9920948616600791,0.96,88.66079926490784
8,0.9920948616600791,0.97,59.35158944129944
9,0.9920948616600791,0.9833333333333333,59.945332050323486
10,0.9920948616600791,0.98,63.44350242614746
11,0.9920948616600791,0.9866666666666667,67.81745743751526
