combination,num_features,val_acc,test_acc,time_s
accel,3,0.849802371541502,0.58,190.19893956184387
gyro,3,0.9802371541501976,0.9733333333333334,70.02463245391846
derived,5,0.9881422924901185,0.9933333333333333,88.24964547157288
accel+gyro,6,0.9920948616600791,0.9766666666666667,89.24864959716797
accel+derived,8,0.9881422924901185,0.9533333333333334,94.72303295135498
gyro+derived,8,0.9920948616600791,0.9733333333333334,66.37992763519287
accel+gyro+derived,11,0.9920948616600791,0.9833333333333333,61.2258141040802
